Sample_Code,Animal,Time,Sex,Diet,Volume_raw,Volume_Norm,Stiffness,PV_flow,HA_flow,Oxygenation,Bodyweight,Vol_to_bw,Norm_Vol_to_bw,PV_velocity,PV_diameter,Rel_Bw
BCH27_-24,BCH27,-24,Male,Chow,9080.075,1,1.590667,0.84582672,,61.136,403,22.53120347,1,,,1
BCH27_0.3,BCH27,0.3,Male,Chow,3275.213,0.327803552,1.778,1.062128784,0.629649619,58.71492,395,8.291678481,0.368008681,,,0.980148883
BCH27_10,BCH27,10,Male,Chow,4400.507,0.381740646,1.966667,1.245855762,0.464291955,56.00258,378,11.64155291,0.516685801,,,0.937965261
BCH27_24,BCH27,24,Male,Chow,5885.997,0.430817423,1.995333,0.728516002,0.422167392,61.82525,379,15.53033509,0.689281206,,,0.94044665
BCH27_48,BCH27,48,Male,Chow,6711.03,0.519148729,1.960667,0.755492674,0.50154626,57.01629,365,18.38638356,0.8160409,,,0.905707196
BCH27_72,BCH27,72,Male,Chow,7355.016,0.652665789,2.110667,0.719099727,0.342987697,58.85265,370,19.87842162,0.882261866,,,0.918114144
BCH27_168,BCH27,168,Male,Chow,10873.01,0.968466254,1.878667,0.389938389,0.34195416,61.9937,378,28.76457672,1.27665514,,,0.937965261
BCH28_-24,BCH28,-24,Male,Chow,8962.417,1,1.5,0.603842803,0.413749883,59.62437,405,22.12942469,1,,,1
BCH28_0.3,BCH28,0.3,Male,Chow,3352.05,0.30691711,1.884,0.756994949,0.435315106,56.74433,399,8.40112782,0.37963607,,,0.985185185
BCH28_10,BCH28,10,Male,Chow,4163.085,0.416293428,2.057333,1.074676592,0.703569108,54.8617,385,10.81320779,0.488634835,,,0.950617284
BCH28_24,BCH28,24,Male,Chow,5281.048,0.492137158,2.045,0.729561546,0.431147568,61.36282,384,13.75272917,0.621467994,,,0.948148148
BCH28_48,BCH28,48,Male,Chow,7885.986,0.776863188,1.959333,,,60.37548,375,21.029296,0.950286611,,,0.925925926
BCH28_72,BCH28,72,Male,Chow,8738.708,0.906801763,1.928,0.727984274,0.336057573,55.04934,378,23.11827513,1.044684869,,,0.933333333
BCH28_168,BCH28,168,Male,Chow,9287.468,0.950987376,1.969333,0.712474918,0.361579173,60.49139,392,23.69252041,1.070634268,,,0.967901235
BCH29_-24,BCH29,-24,Male,Chow,8903.809,1,1.541333,0.608489917,0.312630246,62.237,420,21.19954524,1,,,1
BCH29_0.3,BCH29,0.3,Male,Chow,2947.21,0.245691043,1.834667,0.981765322,0.552241612,54.47062,409,7.205892421,0.339907877,,,0.973809524
BCH29_10,BCH29,10,Male,Chow,4889.801,0.443598743,1.976,1.347862827,0.373827278,55.87567,407,12.01425307,0.566722207,,,0.969047619
BCH29_24,BCH29,24,Male,Chow,5865.643,0.44248094,2.003333,,,61.72639,401,14.62753865,0.689993039,,,0.954761905
BCH29_48,BCH29,48,Male,Chow,6772.238,0.572385778,2.028667,0.910990724,0.325162671,61.70269,392,17.27611735,0.814928677,,,0.933333333
BCH29_72,BCH29,72,Male,Chow,8337.132,0.91854861,2.176,0.86958249,0.286971707,57.1144,386,21.59878756,1.018832589,,,0.919047619
BCH29_168,BCH29,168,Male,Chow,9032.938,0.89618967,1.910714,0.524974377,0.345545713,61.88482,391,23.10214322,1.089747113,,,0.930952381
BCHF30_-24,BCHF30,-24,Female,Chow,6036.813,1,1.706,0.913390725,0.436427632,57.58829,278,21.71515468,1,,,1
BCHF30_0.3,BCHF30,0.3,Female,Chow,1919.823,0.318019293,1.942,1.72378339,0.772886393,56.78576,279,6.881086022,0.316879439,,,1.003597122
BCHF30_10,BCHF30,10,Female,Chow,2028.788,0.33606938,2.169167,2.07405308,1.396483023,55.43303,275,7.377410909,0.339735591,,,0.989208633
BCHF30_24,BCHF30,24,Female,Chow,2482.164,0.411171259,2.136667,1.871504461,1.037138561,61.67042,270,9.1932,0.423354111,,,0.971223022
BCHF30_48,BCHF30,48,Female,Chow,3603.612,0.596939478,2.028,1.793403119,0.888057316,58.78337,265,13.59853585,0.626223301,,,0.95323741
BCHF30_72,BCHF30,72,Female,Chow,4775.773,0.791108322,2.024,1.574282739,0.610841219,56.84793,266,17.95403383,0.826797419,,,0.956834532
BCHF30_168,BCHF30,168,Female,Chow,5708.017,0.945534838,,0.633467483,0.346451858,57.60223,294,19.41502381,0.894077159,,,1.057553957
BCHF31_-24,BCHF31,-24,Female,Chow,4988.688,1,1.699333,1.030139989,0.474209051,58.35892,278,17.94492086,1,,,1
BCHF31_0.3,BCHF31,0.3,Female,Chow,1538.837,0.308465272,1.872,1.579487626,0.838057861,57.84846,266,5.785101504,0.322380998,,,0.956834532
BCHF31_10,BCHF31,10,Female,Chow,2329.914,0.46703943,2.056667,1.994407948,0.893953754,55.78582,262,8.892801527,0.495560922,,,0.942446043
BCHF31_24,BCHF31,24,Female,Chow,2760.01,0.553253681,2.052,1.772939591,0.921835428,62.31205,262,10.53438931,0.587040165,,,0.942446043
